ZipCode,Area,ActiveCount,TerminatedCount,TotalHistorical,ChurnRate
85208,East,1,32,33,96.97
85033,Central,1,30,31,96.77
85375,West,1,24,25,96.0
85007,Central,3,56,59,94.92
85351,West,1,17,18,94.44
85745,Tucson,1,15,16,93.75
85374,West,4,58,62,93.55
85083,West,6,85,91,93.41
85118,East,2,27,29,93.1
85353,West,5,64,69,92.75
85392,West,10,124,134,92.54
85326,West,5,60,65,92.31
85016,Central,9,104,113,92.04
85253,Central,8,91,99,91.92
85043,Central,4,44,48,91.67
85379,West,11,118,129,91.47
85040,Central,2,21,23,91.3
85132,East,2,21,23,91.3
85302,West,9,93,102,91.18
85119,East,2,20,22,90.91
85032,West,13,118,131,90.08
85031,Central,1,9,10,90.0
85387,West,2,18,20,90.0
85743,Tucson,1,9,10,90.0
85045,West,5,44,49,89.8
85013,Central,5,43,48,89.58
85023,West,11,94,105,89.52
85742,Tucson,2,17,19,89.47
85041,Central,17,142,159,89.31
85037,Central,6,50,56,89.29
85381,West,9,75,84,89.29
85383,West,21,170,191,89.01
85027,Central,8,62,70,88.57
85008,Central,4,30,34,88.24
85054,Central,2,15,17,88.24
85335,West,3,22,25,88.0
85143,East,7,51,58,87.93
85338,West,16,116,132,87.88
85382,West,14,100,114,87.72
85395,West,13,92,105,87.62
85345,West,16,113,129,87.6
85259,Central,21,148,169,87.57
85331,West,21,148,169,87.57
85017,Central,1,7,8,87.5
85225,East,12,84,96,87.5
85301,West,5,35,40,87.5
85747,Tucson,1,7,8,87.5
85201,Central,4,27,31,87.1
85210,Central,7,47,54,87.04
85024,Central,10,67,77,87.01
