Zip_Code,Area,Branch_Assignment,Active_Accounts,Special_Flag_Count
85750,Area 1 - East & North,Tucson Area 1 - East & North,9,9
85741,Area 2 - West & Central,Tucson Area 2 - West & Central,7,7
85718,Area 1 - East & North,Tucson Area 1 - East & North,6,6
85658,Area 2 - West & Central,Tucson Area 2 - West & Central,5,5
85730,Area 1 - East & North,Tucson Area 1 - East & North,4,4
85756,Area 2 - West & Central,Tucson Area 2 - West & Central,4,4
85757,Area 2 - West & Central,Tucson Area 2 - West & Central,4,4
85739,Area 2 - West & Central,Tucson Area 2 - West & Central,3,3
85737,Area 2 - West & Central,Tucson Area 2 - West & Central,3,3
85704,Area 2 - West & Central,Tucson Area 2 - West & Central,3,3
85749,Area 1 - East & North,Tucson Area 1 - East & North,3,3
85746,Area 2 - West & Central,Tucson Area 2 - West & Central,2,2
85742,Area 2 - West & Central,Tucson Area 2 - West & Central,2,2
85755,Area 2 - West & Central,Tucson Area 2 - West & Central,2,2
85710,Area 1 - East & North,Tucson Area 1 - East & North,2,2
85712,Area 2 - West & Central,Tucson Area 2 - West & Central,2,2
85641,Area 1 - East & North,Tucson Area 1 - East & North,2,2
85715,Area 1 - East & North,Tucson Area 1 - East & North,2,2
85711,Area 1 - East & North,Tucson Area 1 - East & North,1,1
85706,Area 1 - East & North,Tucson Area 1 - East & North,1,1
85705,Area 2 - West & Central,Tucson Area 2 - West & Central,1,1
85653,Area 2 - West & Central,Tucson Area 2 - West & Central,1,1
85743,Area 2 - West & Central,Tucson Area 2 - West & Central,1,1
85716,Area 2 - West & Central,Tucson Area 2 - West & Central,1,1
85747,Area 1 - East & North,Tucson Area 1 - East & North,1,1
85745,Area 2 - West & Central,Tucson Area 2 - West & Central,1,1
