Zip_Code,Territory,Account_Count,Longitude,Latitude
85006,Central,4,-112.0478662494954,33.465133166055345
85008,Central,4,-111.98673874840557,33.46330634097438
85009,Central,3,-112.12819437073955,33.44288911241622
85012,Central,6,-112.07037330516074,33.50726160613969
85014,Central,9,-112.05673630266939,33.50850140464392
85016,Central,9,-112.02966213573394,33.51358474313019
85017,Central,1,-112.12372068828493,33.50903636986439
85018,Central,25,-111.98578833288842,33.505358021558074
85019,Central,3,-112.14299219552166,33.50924075625369
85020,Central,18,-112.05455625817028,33.567350682555464
85021,Central,19,-112.09390127500315,33.55997458886321
85022,Central,21,-112.0518258585355,33.627152964942525
85028,Central,20,-112.00909044672143,33.575584590309425
85029,Central,15,-112.11027863409957,33.595028567570445
85031,Central,1,-112.16833265667081,33.49489812569433
85032,Central,13,-112.00378723222651,33.62629315580478
85050,Central,18,-111.99629384027958,33.68633276403368
85053,Central,16,-112.13160773972083,33.62992334653711
85054,Central,2,-111.94613646592883,33.673102233819826
85085,Central,16,-112.0893142799021,33.752925694506025
85086,Central,15,-112.12017067442467,33.815456404226005
85087,Central,3,-112.1279157904081,33.92351043890818
85254,Central,56,-111.95193773823529,33.61505529951162
85255,Central,39,-111.82111631299581,33.683170948792856
85258,Central,18,-111.8956492312144,33.56469143017524
85259,Central,21,-111.80948717527428,33.60111517660431
85260,Central,22,-111.89156092270981,33.60961630160771
85262,Central,12,-111.81058254845948,33.83180245465633
85266,Central,14,-111.91824763614997,33.76690930207158
85268,Central,8,-111.74001864860197,33.60691420270918
85304,Central,17,-112.17698906976331,33.59645875368101
85308,Central,40,-112.18458370560008,33.66054288632952
85331,Central,21,-111.93491961039761,33.88509398227508
85335,Central,3,-112.32658263041694,33.591994454944405
85351,Central,1,-112.28205717233793,33.60646571694707
85373,Central,5,-112.29957985864677,33.67375091966547
85374,Central,4,-112.37681391718657,33.64404388161595
85375,Central,1,-112.36588409166036,33.68562365996942
85383,Central,21,-112.24700787026158,33.80232645220311
85387,Central,2,-112.43752524236224,33.71287321348986
85045,East,5,-112.10887254221387,33.299115580333385
85118,East,2,-111.3504930305389,33.353335183334295
85119,East,2,-111.50195417260083,33.40969564166388
85120,East,3,-111.56785762553315,33.402993860038684
85140,East,8,-111.54382357278796,33.24454291471896
85142,East,17,-111.63809692954133,33.198641681969434
85201,East,4,-111.85015865107651,33.433852007863415
85203,East,11,-111.80398180800528,33.45004479266425
85204,East,5,-111.7880867160069,33.39679019248426
85205,East,9,-111.71870134228351,33.432319782869804
85206,East,5,-111.7177316003498,33.39667488180119
85207,East,33,-111.6368377653031,33.453500507599394
85208,East,1,-111.62825101189777,33.401626988879954
85209,East,11,-111.63766355016025,33.378338877702646
85210,East,7,-111.8431963282223,33.38986019711204
85212,East,15,-111.63546411310095,33.32215849730368
85213,East,21,-111.77000957996208,33.44854356265301
85215,East,7,-111.5787388806528,33.511052588846724
85226,East,21,-112.00763743149248,33.25893496059563
85233,East,16,-111.81135593805095,33.35209644437559
85234,East,22,-111.7394412180466,33.36453028497436
85248,East,22,-111.86963399073358,33.21800995403487
85249,East,33,-111.79707310804122,33.22555853769825
85250,East,8,-111.88856863058902,33.53575653426208
85253,East,8,-111.95853487250025,33.545004401729145
85256,East,1,-111.84069255007978,33.50192122214345
85284,East,19,-111.9342645890215,33.337152862083585
85286,East,26,-111.83114303093122,33.27105386453945
85295,East,23,-111.74083713491125,33.305446208640866
85296,East,23,-111.7406291429237,33.335381795107004
85297,East,11,-111.7335067113462,33.27780350174272
85298,East,9,-111.7256743691955,33.24188868503282
85003,West,6,-112.07835303768103,33.45066517646408
85007,West,3,-112.09114907418673,33.44715222941066
85013,West,5,-112.0829421335413,33.510131429318925
85015,West,9,-112.10184939031514,33.50910494158376
85023,West,11,-112.09470326558898,33.6314944200914
85024,West,10,-112.03344958591605,33.73550054983077
85027,West,8,-112.0996051286534,33.6818784908015
85033,West,1,-112.2116273007037,33.494369008295095
85035,West,6,-112.19473232005845,33.47144710224983
85037,West,6,-112.264685263405,33.490567040883036
85040,West,2,-112.02654334352101,33.4061364001517
85041,West,17,-112.10889604013938,33.38590391690183
85042,West,26,-112.04249784875584,33.36880680473928
85043,West,4,-112.19647481967084,33.43247194735455
85044,West,13,-112.0017629060368,33.34239846543703
85048,West,27,-112.05574711755015,33.31254206421794
85051,West,8,-112.13316642539445,33.55912579982404
85083,West,6,-112.15854585615293,33.72457209361865
85202,West,9,-111.87448846713352,33.38249798870869
85224,West,17,-111.87650763257425,33.32354807590578
85225,West,12,-111.83216874017725,33.317438333098586
85251,West,7,-111.91952531124684,33.49390479839478
85257,West,14,-111.91595894934005,33.464192520217274
85281,West,7,-111.93113563046819,33.42816581607858
85282,West,20,-111.93187286741828,33.39416117173269
85283,West,23,-111.93202684122232,33.36457272099633
85301,West,5,-112.17793471079996,33.53175364093919
85302,West,9,-112.17796079843951,33.567971504825536
85303,West,7,-112.22105906015439,33.53270899063344
85305,West,5,-112.25639243580646,33.5308505938631
85306,West,7,-112.17639213793424,33.623933022448576
85310,West,13,-112.1718214855772,33.69581597260906
85323,West,10,-112.32607480667035,33.41936982535489
85326,West,5,-112.5779401078142,33.28903709041216
85338,West,16,-112.40792788897731,33.37348009789763
85339,West,31,-112.16085368713901,33.237715723275834
85340,West,15,-112.41351480375401,33.50983932037243
85345,West,16,-112.24620499771129,33.57195806522396
85353,West,5,-112.27287966261596,33.418241162482744
85355,West,8,-112.45385444128262,33.57618132648494
85379,West,11,-112.37356113089012,33.6020596344468
85381,West,9,-112.23166559560055,33.60956867623793
85382,West,14,-112.24743746592048,33.65512141984475
85388,West,13,-112.43384978883637,33.60789184178249
85392,West,10,-112.30934624200503,33.47774999566425
85395,West,13,-112.39470426790265,33.4789636675964
85396,West,12,-112.65100478820531,33.52701825959687
