ZipCode,Area,AccountCount
85003,Central,6
85006,Central,4
85007,Central,3
85008,Central,4
85009,Central,3
85012,Central,6
85013,Central,5
85014,Central,9
85015,Central,9
85016,Central,9
85017,Central,1
85018,Central,25
85019,Central,3
85024,Central,10
85027,Central,8
85031,Central,1
85033,Central,1
85035,Central,6
85037,Central,6
85040,Central,2
85041,Central,17
85042,Central,26
85043,Central,4
85044,Central,13
85045,Central,5
85051,Central,8
85201,Central,4
85202,Central,9
85203,Central,11
85204,Central,5
85205,Central,9
85206,Central,5
85208,Central,1
85209,Central,11
85210,Central,7
85212,Central,15
85215,Central,7
85224,Central,17
85225,Central,12
85233,Central,16
85248,Central,22
85249,Central,33
85250,Central,8
85251,Central,7
85253,Central,8
85254,Central,56
85255,Central,39
85256,Central,1
85257,Central,14
85258,Central,18
85259,Central,21
85260,Central,22
85262,Central,12
85266,Central,14
85048,East,27
85050,East,18
85054,East,2
85083,East,6
85118,East,2
85119,East,2
85120,East,3
85122,East,89
85123,East,10
85128,East,12
85131,East,6
85132,East,2
85138,East,12
85139,East,6
85140,East,8
85142,East,17
85143,East,7
85193,East,4
85194,East,11
85207,East,33
85213,East,21
85226,East,21
85234,East,22
85281,East,7
85282,East,20
85283,East,23
85284,East,19
85286,East,26
85295,East,23
85296,East,23
85297,East,11
85298,East,9
85326,East,5
85345,East,16
85392,East,10
85396,East,12
85641,East,2
85653,East,1
85658,East,5
85706,East,1
85704,Tucson,3
85705,Tucson,1
85710,Tucson,2
85711,Tucson,1
85712,Tucson,2
85715,Tucson,2
85716,Tucson,1
85718,Tucson,6
85730,Tucson,4
85737,Tucson,3
85739,Tucson,3
85741,Tucson,7
85742,Tucson,2
85743,Tucson,1
85745,Tucson,1
85746,Tucson,2
85747,Tucson,1
85749,Tucson,3
85750,Tucson,9
85755,Tucson,2
85756,Tucson,4
85757,Tucson,4
85020,West,18
85021,West,19
85022,West,21
85023,West,11
85028,West,20
85029,West,15
85032,West,13
85053,West,16
85085,West,16
85086,West,15
85087,West,3
85268,West,8
85301,West,5
85302,West,9
85303,West,7
85304,West,17
85305,West,5
85306,West,7
85308,West,40
85310,West,13
85323,West,10
85331,West,21
85335,West,3
85338,West,16
85339,West,31
85340,West,15
85351,West,1
85353,West,5
85355,West,8
85373,West,5
85374,West,4
85375,West,1
85378,West,2
85379,West,11
85381,West,9
85382,West,14
85383,West,21
85387,West,2
85388,West,13
85395,West,13
