Branch,ZIP,Active,Terminated,Total,Retention_Rate
Branch 1 - Tucson East & North (Foothills),85748,0,7,7,0.0
Branch 2 - Tucson West & Central (Urban & Growth),85719,0,4,4,0.0
Branch 2 - Tucson West & Central (Urban & Growth),85745,1,15,16,6.25
Branch 2 - Tucson West & Central (Urban & Growth),85743,1,9,10,10.0
Branch 2 - Tucson West & Central (Urban & Growth),85742,2,17,19,10.526315789473683
Branch 2 - Tucson West & Central (Urban & Growth),85737,3,19,22,13.636363636363635
Branch 1 - Tucson East & North (Foothills),85749,3,18,21,14.285714285714285
Branch 1 - Tucson East & North (Foothills),85710,2,11,13,15.384615384615385
Branch 2 - Tucson West & Central (Urban & Growth),85755,2,9,11,18.181818181818183
Branch 2 - Tucson West & Central (Urban & Growth),85716,1,4,5,20.0
Branch 2 - Tucson West & Central (Urban & Growth),85704,3,11,14,21.428571428571427
Branch 1 - Tucson East & North (Foothills),85715,2,7,9,22.22222222222222
Branch 1 - Tucson East & North (Foothills),85711,1,3,4,25.0
Branch 1 - Tucson East & North (Foothills),85718,6,17,23,26.08695652173913
Branch 1 - Tucson East & North (Foothills),85730,4,8,12,33.33333333333333
Branch 2 - Tucson West & Central (Urban & Growth),85741,7,10,17,41.17647058823529
Branch 1 - Tucson East & North (Foothills),85750,9,10,19,47.368421052631575
Branch 2 - Tucson West & Central (Urban & Growth),85712,2,2,4,50.0
Branch 2 - Tucson West & Central (Urban & Growth),85705,1,1,2,50.0
