zip_code,area,account_count
85003,Central,6
85007,Central,3
85009,Central,3
85012,Central,6
85013,Central,5
85014,Central,9
85015,Central,9
85017,Central,1
85018,Central,25
85019,Central,3
85020,Central,18
85021,Central,19
85022,Central,21
85023,Central,11
85028,Central,20
85029,Central,15
85031,Central,1
85032,Central,13
85033,Central,1
85035,Central,6
85037,Central,6
85040,Central,2
85043,Central,4
85051,Central,8
85053,Central,16
85201,Central,4
85257,Central,14
85281,Central,7
85301,Central,5
85302,Central,9
85303,Central,7
85304,Central,17
85305,Central,5
85306,Central,7
85308,Central,40
85310,Central,13
85323,Central,10
85326,Central,5
85338,Central,16
85340,Central,15
85345,Central,16
85353,Central,5
85381,Central,9
85382,Central,14
85392,Central,10
85395,Central,13
85396,Central,12
85006,East,4
85008,East,4
85016,East,9
85024,East,10
85027,East,8
85050,East,18
85054,East,2
85083,East,6
85085,East,16
85086,East,15
85087,East,3
85118,East,2
85119,East,2
85120,East,3
85140,East,8
85202,East,9
85203,East,11
85204,East,5
85205,East,9
85206,East,5
85207,East,33
85208,East,1
85210,East,7
85213,East,21
85215,East,7
85250,East,8
85251,East,7
85253,East,8
85254,East,56
85255,East,39
85256,East,1
85258,East,18
85259,East,21
85260,East,22
85262,East,12
85266,East,14
85268,East,8
85331,East,21
85335,East,3
85351,East,1
85355,East,8
85373,East,5
85374,East,4
85375,East,1
85379,East,11
85383,East,21
85387,East,2
85388,East,13
85041,West,17
85042,West,26
85044,West,13
85045,West,5
85048,West,27
85142,West,17
85209,West,11
85212,West,15
85224,West,17
85225,West,12
85226,West,21
85233,West,16
85234,West,22
85248,West,22
85249,West,33
85282,West,20
85283,West,23
85284,West,19
85286,West,26
85295,West,23
85296,West,23
85297,West,11
85298,West,9
85339,West,31
